timstamp,open,high,low,close
1609459200000,736.42000000,749.00000000,714.29000000,728.91000000
1609545600000,728.91000000,787.69000000,714.91000000,774.56000000
1609632000000,774.44000000,1011.07000000,768.71000000,978.28000000
1609718400000,978.33000000,1162.97000000,890.00000000,1041.43000000
1609804800000,1041.45000000,1134.60000000,974.45000000,1099.56000000
1609891200000,1100.16000000,1213.00000000,1057.26000000,1208.42000000
1609977600000,1208.75000000,1289.00000000,1131.00000000,1224.87000000
1610064000000,1224.86000000,1273.75000000,1065.00000000,1216.93000000
1610150400000,1216.72000000,1304.37000000,1171.36000000,1276.00000000
1610236800000,1276.00000000,1348.33000000,1170.00000000,1254.25000000
1610323200000,1254.24000000,1260.00000000,915.00000000,1087.01000000
1610409600000,1087.00000000,1150.02000000,1006.33000000,1050.16000000
1610496000000,1050.36000000,1137.65000000,987.48000000,1129.89000000
1610582400000,1129.79000000,1247.55000000,1086.70000000,1231.62000000
1610668800000,1231.89000000,1256.98000000,1069.42000000,1168.53000000
1610755200000,1168.48000000,1298.00000000,1151.77000000,1227.83000000
1610841600000,1227.83000000,1269.02000000,1165.00000000,1232.45000000
1610928000000,1232.50000000,1260.75000000,1182.58000000,1258.45000000
1611014400000,1258.52000000,1438.30000000,1251.49000000,1365.36000000
1611100800000,1365.36000000,1407.93000000,1235.42000000,1376.99000000
1611187200000,1376.72000000,1390.00000000,1086.00000000,1110.96000000
1611273600000,1111.98000000,1273.79000000,1042.31000000,1232.62000000
1611360000000,1232.61000000,1272.44000000,1195.90000000,1233.60000000
1611446400000,1233.46000000,1398.83000000,1220.00000000,1392.51000000
1611532800000,1392.19000000,1475.00000000,1293.69000000,1317.88000000
1611619200000,1317.60000000,1378.49000000,1244.56000000,1365.97000000
1611705600000,1366.54000000,1373.90000000,1207.00000000,1239.03000000
1611792000000,1238.93000000,1360.00000000,1217.23000000,1329.69000000
1611878400000,1329.44000000,1436.90000000,1285.35000000,1379.50000000
1611964800000,1379.56000000,1406.00000000,1326.41000000,1378.05000000
1612051200000,1378.04000000,1380.74000000,1281.12000000,1312.55000000
1612137600000,1312.45000000,1377.99000000,1269.99000000,1374.17000000
1612224000000,1374.09000000,1547.90000000,1360.28000000,1511.87000000
1612310400000,1511.93000000,1669.35000000,1508.39000000,1664.49000000
1612396800000,1664.67000000,1695.20000000,1554.44000000,1595.67000000
1612483200000,1595.53000000,1760.49000000,1591.00000000,1719.19000000
1612569600000,1718.95000000,1743.67000000,1642.94000000,1676.35000000
1612656000000,1676.35000000,1693.00000000,1490.46000000,1611.62000000
1612742400000,1611.46000000,1775.57000000,1563.89000000,1750.15000000
1612828800000,1749.68000000,1821.88000000,1708.49000000,1769.13000000
1612915200000,1769.14000000,1837.86000000,1680.00000000,1740.78000000
1613001600000,1740.76000000,1819.00000000,1703.44000000,1785.62000000
1613088000000,1785.83000000,1864.88000000,1739.88000000,1840.26000000
1613174400000,1840.24000000,1871.72000000,1765.00000000,1814.96000000
1613260800000,1815.25000000,1850.00000000,1784.11000000,1800.42000000
1613347200000,1800.03000000,1835.72000000,1655.67000000,1779.25000000
